Package	Description	Updated_Date
r-cghseg	Dedicated to the analysis of CGH (Comparative Genomic Hybridization) array profiles using segmentation models. 'cghseg' package is intended to detect breakpoints from CGH profiles. It can handle both single and multiple profiles analysis to perform segmentation normalization and calling. Methods for joint segmentation are described in Picard and al. (2011).	2023-07-12
bioconductor-tscr	A time series clustering package combining slope and Frechet distances	2023-07-11
viramp-hub	VirAmp-Hub lets you manipulate/convert viral amplicon/primer scheme information.	2023-07-10
btyper3	In silico taxonomic classification of Bacillus cereus group isolates using assembled genomes	2023-07-07
bioconductor-savr	Parse and analyze Illumina SAV files	2023-07-07
bioconductor-biocdockermanager	Access Bioconductor docker images	2023-07-07
esviritu	EsViritu: Read mapping pipeline for detection and measurement of virus pathogens from metagenomic or clinical data	2023-07-07
svim	SVIM is a structural variant caller for long reads.	2023-07-07
ultra_bioinformatics	Splice aligner of long transcriptomic reads to genome.	2023-07-06
svhip	Retrainable machine learning pipeline for the detection of secondary structure conservation on a genome-level.	2023-07-06
modle	High-performance stochastic modeling of DNA loop extrusion interactions	2023-07-04
perl-statistics-descriptive	Module of basic descriptive statistical functions.	2023-07-02
shigeifinder	Cluster informed Shigella and EIEC serotyping tool from Illumina reads and assemblies	2023-06-30
viromeqc	Provides an enrichment score for VLP viromes with respect to metagenomes	2023-06-29
latch	A python bioinformatics framework	2023-06-18
eklipse	eKLIPse is a sensitive and specific tool allowing the detection and quantification of large mtDNA rearrangements.	2023-06-18
fununifrac	A repository to implement UniFrac but on functional profiles of metagenomic data.	2023-06-18
mlgenotype	A package with utilities for training random forest classifiers to recognize SVs in short read datasets	2023-06-18
crisprlungo	A software pipeline for analyzing single-anchor amplicon sequencing and quantifying complex genome editing outcomes	2023-06-18
cladeomatic	Clade-O-Matic: Automatic recognition of population structures based on canonical SNPs	2023-06-18
tolkein	Tree of Life Kit of Evolutionary Informatics Novelties	2023-06-18
drprg	Drug resistance prediction with reference graphs	2023-06-18
bamstats	A command line tool to compute mapping statistics from a BAM file	2023-06-18
fastquast	Fast and simple Quality Assessment Tool for Large Genomes	2023-06-18
read2tree	Building phylogenetic trees directly from sequencing reads	2023-06-18
mindagap	Takes a single panorama image and fills the empty grid lines with neighbour-weighted values.	2023-06-18
baypass	Genome-Wide Scan for Adaptive Differentiation and Association Analysis with population-specific covariables.	2023-06-18
treeshrink	an algorithm for detecting (and removing) abnormally long branches in one or more phylogenetic trees	2023-06-18
contignet	ContigNet a deep learning based phage-host interaction prediction tool	2023-06-18
proteomiqon-alignmentbasedquantification	Given an MS run in the mzLite or mzml format and a list of a list of peptides deduced by alignment this tool iterates accross all and performs an XIC extration and quantification in similar to the PSMbasedQuantification tool.	2023-06-18
libshorah	libshorah - Short Reads Assembly into Haplotypes	2023-06-18
hmftools-rose	ROSE makes an actionability summary of the clinical relevant (for the Netherlands) genomic events and signatures as determined by the Hartwig pipeline.	2023-06-18
hmftools-protect	PROTECT determines the clinical evidence applicable for a particular tumor sample based on all genomic events and signatures that are determined by the Hartwig pipeline.	2023-06-18
metagem	Generate context specific genome-scale metabolic models and predict metabolic interactions directly from metagenomic data	2023-06-18
netsyn	NetSyn is a tool to detect conserved genomic contexts (i.e. synteny conservation) among a list of protein targets.	2023-06-18
msmc2	This program implements MSMC2 a method to infer population size history and population separation history from whole genome sequencing data	2023-06-18
binspreader	BinSPreader is a tool for improving existing binning using assembly	
graph and other sources of connectivity information	2023-06-18	
hapsolo	An optimization approach for removing secondary haplotigs during diploid genome assembly and scaffolding.	2023-06-18
whokaryote	Classify metagenomic contigs as eukaryotic or prokaryotic	2023-06-18
purge-dups-runner	High Performance Cluster (HPC) runner.	2023-06-18
proteomiqon-alignmentbasedquantstatistics	The tool ProteomIQon.AlignmentBasedQuantStatistics scores peptide ion quantifications obtained through alignment between runs.	2023-06-18
fastsimcoal2	fast sequential markov coalescent simulation of genomic data under complex evolutionary models	2023-06-18
gapless	gapless assembly improvement tool	2023-06-18
perl-bio-rna-barmap	Parse and query BarMap mappings.	2023-06-18
genomics-data-index	Indexes genomics data (nucleotide variants kmers MLST) for fast querying of features.	2023-06-18
forwardgenomics	Forward Genomics is a framework to associate phenotypic differences between species to differences in their genomes	2023-06-18
pseudo-it	Reference-based genome assembly with iterative mapping	2023-06-18
gorpipe	A query tool for working with sequence data based on a Genomic Ordered Relations (GOR)	2023-06-18
ciriquant	circular RNA quantification pipeline	2023-06-18
dcc	DCC is a python package intended to detect and quantify circRNAs with high specificity	2023-06-18
vechat	Correcting errors in noisy long reads using variation graphs	2023-06-18
strainflye	Pipeline for analyzing rare mutations in metagenomes assembled using long and accurate reads	2023-06-18
tb-ml	A simple tool for creating machine learning antimicrobial resistance prediction pipelines using Docker containers for M. tuberculosis.	2023-06-18
pavfinder	PAVFinder is a Python package that detects structural variants from de novo assemblies.	2023-06-18
phist	Phage-Host Interaction Search Tool.	2023-06-18
phamb	phamb discovery approach used to isolate metagenome derived viromes and High-quality viral genomes	2023-06-18
etoki	EToKi (Enterobase Tool Kit) includes methods related to Enterobase data analysis pipelines	2023-06-18
qhery	Identification of mutations in SARS-CoV-2 associated with resistance to treatment.	2023-06-18
mummer2circos	Circular bacterial genome plots based on BLAST or NUCMER/PROMER alignments	2023-06-18
bart	bart - a bacterial read type	2023-06-18
marvd2	Metagenomic Archaeal Virus Detector 2	2023-06-18
tecount	A package to count read alignments on transposable elements subfamilies families and classes.	2023-06-18
transcriptm	Metagenomics analyses.	2023-06-18
saintbioutils	A package of utility and miscellaneous functions for using in bioinformaticspipelines primarily in Python.	2023-06-18
vapor	VAPOR is a tool for classification of Influenza samples from raw short read sequence data for downstream bioinformatics analysis.	2023-06-18
liftofftools	A tool for comparing annotations across genome assemblies	2023-06-18
hla-asm	find HLA gene exon coordinates in long read-based assemblies and carry out HLA typing at G group resolution	2023-06-18
kmerfinder	Prediction of bacterial species using a fast K-mer algorithm.	2023-06-18
mhc-annotation	Tools to annotate haplotypes of MHC with gene and transcript information	2023-06-18
jvarkit-bamstats04	Coverage statistics for a BED file.	2023-06-18
dinf	discriminator-based inference for population genetics	2023-06-18
vcf2tsvpy	Genomic VCF to tab-separated values (TSV)	2023-06-18
vrhyme	vRhyme functions by utilizing coverage variance comparisons and supervised machine learning classification of sequence features to construct viral metagenome-assembled genomes (vMAGs).	2023-06-18
mvirs	mVIRs: Localisation of inducible prophages using NGS data	2023-06-18
covsonar	A database-driven system for handling genomic sequences and screening genomic profiles.	2023-06-18
scte	scTE builds genome indices for the fast alignment of reads to genes and TEs.	2023-06-18
hmntrimmer	A trimmer for NGS reads	2023-06-18
agouti	Annotation of Genomic and Transcriptomic Intervals	2023-06-18
corekaburra	A commandline bioinformatics tool made to utilize syntenic information from genomes in the context of pan-genomes	2023-06-18
mlst-cge	Multi Locus Sequence Typing (MLST) determine the ST from an assembled genome or from a set of reads.	2023-06-18
hmnfusion	Analysis fusion from DNA genomics	2023-06-18
miga	Python package to optimize mutual information between two multiple sequence alignment.	2023-06-18
resmico	Increasing the quality of metagenome-assembled genomes with deep learning	2023-06-18
quickdeconvolution	Deconvolves linked-reads sequencing data	2023-06-18
mdmcleaner	A pipeline for the assessment classification and refinement of microbial dark matter SAGs and MAGs	2023-06-18
microbeannotator	A user friendly microbe genome annotation tool	2023-06-18
extract_vcf	Tool to extract information from vcf file.	2023-06-18
magphi	A bioinformatics tool allowing for examnination and extraction of genomic features using seed sequences.	2023-06-18
mitoz	MitoZ: A toolkit for assembly annotation and visualization of animal mitochondrial genomes	2023-06-18
hat-phasing	HAT:‌  Haplotype assembly tool that use both long and short reads to reconstruct haplotypes	2023-06-18
mgca	Microbial genome component and annotation pipeline	2023-06-18
boquila	NGS read simulator to eliminate read nucleotide bias in sequence analysis.	2023-06-18
pyvcf3	A Variant Call Format reader for Python	2023-06-18
cladebreaker	Nextflow pipeline for phylogenetic analysis.	2023-06-18
parse_mito_blast	Filtering blast out from querying assembly against mitochondrial database.	2023-06-18
mgcplotter	Microbial Genome Circular plotting tool using Circos	2023-06-18
metaplex	Read Processing and Quality Control Toolkit for Dual-Indexed Metabarcoding	2023-06-18
naltorfs	Nested Alternate Open Reading Frames (nAlt-ORFs)	2023-06-18
automappa	Automappa: An interactive interface for exploration of metagenomes	2023-06-18
gbkviz	Simple web application to visualize and compare genomes in Genbank files	2023-06-18
lmas	LMAS - Last (Meta)Genomic Assembler Standing	2023-06-18
multisub	multiSub is a command-line tool to prepare and/or submit a SARS-CoV-2 genome sequence to the NCBI Genbank EBI ENA and GISAID sequence repositories.	2023-06-18
bg	Implementation of Breakpoint Graph data structure	2023-06-18
titanomics	A comprehensive multi-omics data analysis pipeline.	2023-06-18
bialign	Bialignment of RNAs and proteins	2023-06-18
chiton	Chiton provides a Python wrapper to commonly used bioinformatics programs.	2023-06-18
pyfish	Plotting tool for evolutionary population dynamics. Creates a Fish (Muller) plot.	2023-06-18
lepwrap	The Snakemake pipeline to use Lep-Map3 to create linkage maps and LepAnchor for anchoring+orienting genome assemblies.	2023-06-18
metamlst	A computational pipeline for MLST typing from metagenomic data	2023-06-18
theiacov-gc	Command-line version of the TheiaCov genomic characterization workflow for SARS-CoV-2.	2023-06-18
metaomestats	Scripts for calculating statistics from FASTA sequences	2023-06-18
perl-pod-eventual	read a POD document as a series of trivial events	2023-06-18
trimap	TriMap: Large-scale Dimensionality Reduction Using Triplets	2023-06-18
pmga	Command-line version of PMGA (PubMLST Genome Annotator) for all Neisseria species and Haemophilus influenzae	2023-06-18
binning_refiner	Improving genome bins through the combination of different binning programs	2023-06-18
debreak	DeBreak Deciphering the exact breakpoints of structural variations using long sequencing reads	2023-06-18
3d-dna	3D de novo assembly (3D-DNA) pipeline.	2023-06-18
hilinetojuicer	Convert HiLine SAM alignments to Juicer format	2023-06-18
linkstats	Collect and process statistics from aligned linked-reads.	2023-06-18
plotsr	Visualiser for structural annotations between multiple genomes	2023-06-18
metawrap-mg	MetaWRAP is a pipeline for genome-resolved metagenomic data analysis	2023-06-16
dnaweaver_synbiocad	Build the genetic designs generated by the SynBioCAD project using either Golden Gate or Gibson assembly	2023-06-16
hamroaster	An analysis pipeline to compare the output of different AMR detection tools and provide metrics of their performance	2023-06-16
cutqc	generate aggregated fastqc report of both before and after trimming.	2023-06-16
sequana_pipetools	A set of tools to help building or using Sequana pipelines	2023-06-16
genview	Gene-centric visualization tool for genomic sequences	2023-06-16
mhg	MHG is an annotation-free graph-based tool to merge and partition homologous groups.	2023-06-16
proksee	Proksee is a suite of command line tools for performing assembly annotation and visualization of microbial genomes.	2023-06-16
colord	A versatile compressor of third generation sequencing reads.	2023-06-16
interproscan	InterPro integrates together predictive information about proteins function from a number of partner resources	2023-06-16
hormon	A tool for annotation of alpha satellite arrays in centromeres of a newly assembled human genome.	2023-06-16
staphb_toolkit	A ToolKit of commonly used Public Health Bioinformatics Tools	2023-06-16
vafator	VAFator annotates the variants in a VCF file with technical annotations extracted from one or more BAM alignment files. We implement a set of basic coverage annotations and also more sophisticated published annotations used to assess the quality of every variant call.	2023-06-16
ginpipepy	Package for temporal binning of dated sequences in BAM format and fast population size estimate computation	2023-06-16
harvest-variants	Harvest Variants is a pipeline for variant calling on SARS-CoV-2 samples	2023-06-16
bird_tool_utils_python	Python utilities used as part of the bird suite of bioinformatic tools.	2023-06-16
pifcosm	PisCoSm is a pipeline to construct supermatrix trees from GenBank data	2023-06-16
mars	Multiple Alignment-based Refinement of SVs (MARS)	2023-06-16
opfi	A package for discovery annotation and analysis of gene clusters in genomics or metagenomics datasets.	2023-06-16
needle	Needle: A fast and space-efficient pre-filter for the quantification of very large collections of nucleotide sequences	2023-06-16
rust-mdbg	An ultra-fast minimizer-space de Bruijn graph (mdBG) implementation geared towards the assembly of long and accurate reads.	2023-06-16
proteomiqon-labelfreeproteinquantification	The tool LabelFreeProteinQuantification estimates protein abundances using quantified peptide ions.	2023-06-16
proteomiqon-joinquantpepionswithproteins	The tool JoinQuantPepIonsWithProteins combines results from ProteinInference and PSMBasedQuantification.	2023-06-16
proteomiqon-labeledproteinquantification	The tool LabeledProteinQuantification combines the results from ProteomIQon ProteinInference and ProteomIQon PSMBasedQuantification	2023-06-16
metaclock	A python package for facilitating strain-level phylogenetic and molecular clock analysis	2023-06-16
magcluster	Magnetosome gene cluster identification annotation and visualization tool	2023-06-16
rd-analyzer	In silico region of difference (RD) analysis of Mycobacterium tuberculosis complex from sequence reads	2023-06-16
nopilesum	nopilesum is a D program that functions as an alternative to GATK4's GetPileupSummaries.	2023-06-16
dragmap	Dragmap is the Dragen mapper/aligner Open Source Software.	2023-06-16
domino	AMI algorithm with low rate of false calls	2023-06-16
bamaligncleaner	Removes unaligned references in BAM alignment file	2023-06-16
samrefiner	A program for gathering variant information from a SAM formated files	2023-06-16
hesslab-gambit	"IMPORTANT: This recipe is out of date. Use ""gambit"" instead: http://bioconda.github.io/recipes/gambit/README.html"	2023-06-16
titan-gc	Command-line version of the Titan genomic characterization workflow for viral pathogens of concern.	2023-06-16
hgvs	HGVS Parser Formatter Mapper Validator	2023-06-16
lrphase	Phasing individual long reads using known haplotype information.	2023-06-16
aquilasv	A region-based diploid assembly and variants calling tool	2023-06-16
irida-staramr-results	IRIDA StarAMR Results program enables StarAMR analysis results that were run through IRIDA to be batch downloaded into a collection of spreadsheets using the command line.	2023-06-16
aquila_sv	Diploid assembly and variants calling tool	2023-06-16
miru-hero	Compute MIRU and Spoligotype from a M. tuberculosis genome	2023-06-16
clusterone	Graph clustering algorithm	2023-06-16
metaplatanus	MetaPlatanus: A hybrid metagenome assembler	2023-06-16
mixem	Expectation-Maximization (EM) algorithm for fitting mixtures of probability distributions	2023-06-16
iqkm	Identification and quantification of KEGG Modules in metagenomes/genomes	2023-06-16
taranis	Pipeline for wg/cgMLST allele calling	2023-06-16
grampa	GRAMPA is a program to identify and place polyploidy events on a phylogeny and to count duplications and losses in the presence of polyploidy.	2023-06-16
bioconductor-mesh.eca.eg.db	Mapping table for Equus caballus Gene ID to MeSH	2023-06-16
gs-tama	Gene-Switch Transcriptome Annotation by Modular Algorithms	2023-06-16
motulizer	making OTUs from genomes and stats on them. and even core-genomes	2023-06-16
plotcritic	Python deployment tool for bespoke image curation projects oriented toward scientific projects especially genomic structural variation.	2023-06-16
bellerophon	Filter reads that span a mapping junction retaining the 5'-side.	2023-06-16
piemmer	A algorithm to simplify the input for principal component analysis	2023-06-16
multiqc_sav	MultiQC plugin to visualize Illumina SAV plots	2023-06-16
proteomiqon-psmbasedquantification	The quantification tool was designed to allow label-free quantification as well as quantification of full metabolic labeled samples.	2023-06-16
proteomiqon-proteininference	MS-based shotgun proteomics estimates protein abundances using a proxy: peptides. The process of 'Protein Inference' is concerned with the mapping of identified peptides to the proteins they putatively originated from.	2023-06-16
mage-tab-merger	Utility scripts to merge SDRFs condensed SDRFs and IDFs (MAGE-Tab) for meta-analysis and othe purposes.	2023-06-16
proteomiqon-psmstatistics	The PSMStatistics tool utilizes semi supervised machine learning techniques to integrate search engine scores as well as the mentioned quality scores into one single consensus score.	2023-06-16
epimuller	Visualize lineages overtime with phylogentic context based on viral genomes	2023-06-16
saspector	A tool for analysis of missing regions in (bacterial) draft genomes.	2023-06-16
staphopia-sccmec	Predicts Staphylococcus aureus SCCmec type based on primers.	2023-06-16
figaro	An efficient and objective tool for optimizing microbiome rRNA gene trimming parameters	2023-06-16
nextclade_js	SARS-CoV-2 genome clade assignment mutation calling and sequence quality checks (Javascript implementation)	2023-06-16
shiptv	Generate a standalone HTML file with an interactive phylogenetic tree using PhyloCanvas	2023-06-16
squeegee	squeegee de novo computational contamination detection tool for metagenomic samples	2023-06-16
tritimap	Triti-Map is a Snakemake-based pipeline for gene mapping in Triticeae.	2023-06-16
dipcall	Dipcall is a reference-based variant calling pipeline for a pair of phased haplotype assemblies.	2023-06-16
ngmaster	In silico multi-antigen sequence typing for Neisseria gonorrhoeae (NG-MAST) and Neisseria gonorrhoeae sequence typing for antimicrobial resistance (NG-STAR)	2023-06-16
alv	A console-based sequence alignment viewer	2023-06-16
springsuite	The Spring Suite contains tools to predict and model protein-protein interactions from FASTA sequences and HHsearch threading results.	2023-06-16
scalop	SCALOP - Sequence-based antibody Canonical LOoP structure annotation	2023-06-16
bacgwasim	BacGWASim is a simulator for Bacterial Machine learning and Genome-wide Association studies.	2023-06-16
troika-tb	A pipeline implementing TB-Profiler for batch detection and reporting of anti-microbial resistance in TB for public health and clinical use.	2023-06-16
rodeo	RODEO evaluates one or many genes characterizing a gene neighborhood based on the presence of profile hidden Markov models (pHMMs). Because RiPP precursor peptides are small and often evade annotation in sequence databases RODEO can also manually translate small ORFs (open reading frames). A combination of support vector machine (SVM) learning and motif analysis can be used to scan unannotated intergenic regions for RiPP precursors.	2023-06-16
metaclassifier	MetaClassifier is an integrated pipeline for classifying and quantifying DNA metabarcoding data into taxonomy groups	2023-06-16
leehom	Maximum-likelihood adapter trimming and removal	2023-06-16
dms	Comprehensive taxonomic and phylogenetic comparison of shotgun metagenomes at the species level	2023-06-16
komb	Characterizing metagenomes using K-Core decomposition	2023-06-16
mapula	Calculation of alignment statistics	2023-06-16
cassis	Detection of genomic rearrangement breakpoints	2023-06-16
gplas	gplas is a tool to bin plasmid-predicted contigs based on sequence composition coverage and assembly graph information. It extends the possibility of accurately binning predicted plasmid contigs into several discrete plasmid components.	2023-06-16
mitofinder	Mitofinder is a pipeline to assemble mitochondrial genomes and annotate mitochondrial genes from trimmed read sequencing data.	2023-06-16
samap	The SAMap algorithm	2023-06-16
vulcan	vulcan map long reads and prosper🖖 a long read mapping pipeline that melds minimap2 and NGMLR	2023-06-16
rnabridge-denovo	A tool to construct the alignments of entire fragments given the alignments of paired-end reads.	2023-06-16
jvarkit-wgscoverageplotter	Whole genome BAM coverage plotter	2023-06-16
bamtocov	Extract coverage information from BAM files supporting stranded and physical coverage and streams.	2023-06-16
trim_isoseq_polya	Trims polyA tails from IsoSeq FASTA files	2023-06-16
trimns_vgp	TrimNs is used to trim and remove fake cut sites from bionano hybrid scaffold data in the VGP pipeline.	2023-06-16
bamsnap	A converter from .bam to .png for specific genomic region.	2023-06-16
clusterfunk	Miscellaneous clustering manipulation tools for phylogenetic trees	2023-06-16
htseqqc	HTSeqQC is an automated quality control analysis tool for a single and paired-end high-throughput sequencing data (HTS) generated from Illumina sequencing platforms	2023-06-16
cov-lineages	A dynamic nomenclature proposal for SARS-CoV-2 to assist genomic epidemiology	2023-06-16
phirbo	Predict prokaryotic hosts for phage (meta) genomic sequences	2023-06-16
xtea	TE insertion caller for both short and long reads	2023-06-16
shovill-se	An fork of Shovill (microbial assembly pipeline for Illumina paired-end reads) that supports single-end reads.	2023-06-16
siann	SIANN was created to allow creation of local small sets of bacterial/viral genomes to perform strain level differentiation from fastq data	2023-06-16
mitobim	mitochondrial baiting and iterative mapping	2023-06-16
bioprov	BioProv - Provenance capture for bioinformatics workflows	2023-06-16
rfplasmid	RFPlasmid predicts plasmid contigs from assemblies using single copy marker genes plasmid genes and kmers.	2023-06-16
bamaddrg	Add read group to BAM files	2023-06-16
chewiesnake	ChewieSnake is a snakemake workflow that performs cgMLST allele calling for a set of assembled genomes using chewBBACA.	2023-06-16
markov_clustering	This module implements the MCL algorithm in python.	2023-06-16
spliced_bam2gff	A tool to convert spliced BAM alignments into GFF2 format	2023-06-16
knot-asm-analysis	KNOT: Knowledge Network Overlap exTraction is a tool for the investigation of fragmented long read assemblies.	2023-06-16
conduit-assembler	Long- and short-read hybrid de novo transcriptome assembly	2023-06-16
qax	Extract data metadata bibliography and provenance from Qiime2 artifacts	2023-06-16
gem2	GEM2 is a high-performance mapping tool. It also provide a unique tool to evaluate mappability.	2023-06-16
appspam	Alignment-free Phylogenetic Placement algorithm based on Spaced-word Matches	2023-06-16
panacota	Large scale comparative genomics tools: annotate genomes do pangenome core/persistent genome align core/persistent families infer phylogenetic tree.	2023-06-16
coolbox	Jupyter notebook based genomic data visulization toolkit.	2023-06-16
cliquesnv	Scalable Reconstruction of Intra-Host Viral Populations from NGS Reads	2023-06-16
burst	BURST (formerly known as embalmer) is an optimal high-speed pairwise sequence aligner specialized in aligning many NGS short reads against large reference databases.	2023-06-16
snakelines	Computational pipelines for processing of paired-end sequencing reads.	2023-06-16
sat-bsa	Sat-BSA is a package used for applying local de novo assembly and identifying the structural variants in the assembled region	2023-06-16
bolt-lmm	Efficient large cohorts genome-wide Bayesian mixed-model association testing	2023-06-16
md-cogent	COding GENome reconstruction Tool using transcript sequences	2023-06-16
porfast	Extract ORFs from paired end Illumina reads (FASTQ).	2023-06-16
lukasa	Fast and accurate mapping of proteins against eukaryotic genomes	2023-06-16
vsclust	Interactive tool for statistical testing data browsing and interactive visualization of quantitative omics data	2023-06-16
plasmidhawk	Plasmidhawk is a program for detecting lab-of-origin of input plasmids by building an annotated pangenome of training plasmids.	2023-06-16
eigenstratdatabasetools	A set of tools to compare and manipulate the contents of EingenStrat databases and to calculate SNP coverage statistics in such databases.	2023-06-16
pan-plaster	Plaster is a program for quick linear pangenome construction.	2023-06-16
deepnog	Deep learning tool for protein orthologous group assignment	2023-06-16
treecluster	Identify clusters in phylogenetic trees based on a distance threshold and other constraints	2023-06-16
sidr	Sequence Idenification using Decision tRees; a tool to classify DNA reads using machine learning models.	2023-06-16
clinker	Clinker is a bioinformatics pipeline that generates a superTranscriptome from popular fusion finder outputs (JAFFA tophatFusion SOAP deFUSE Pizzly etc) that can be then be either viewed in genome viewers such as IGV or through the included plotting feature developed with GViz.	2023-06-16
grafimo	GRAFIMO GRAph-based Finding of Indivividual Motif Occurrences	2023-06-16
pydownsampler	A Python package for downsampling sequence alignment files	2023-06-16
coconet-binning	A contig binning tool from viral metagenomes	2023-06-16
genomic_regions	Consistently handle genomic regions	2023-06-16
cluster_vcf_records	Package to cluster VCF records. For use by gramtools and minos	2023-06-16
pathracer	PathRacer is a tool for alignment of profile HMM against assembly graph.	2023-06-16
metapop	A pipeline for the macro- and micro-diversity analyses and visualization of metagenomic-derived populations	2023-06-16
ragtag	Fast reference-guided genome assembly scaffolding	2023-06-16
pgdspider	An automated data conversion tool for connecting population genetics and genomics programs	2023-06-16
jcast	Jcast retrieves splice junction information and translates into amino acids	2023-06-16
wlogdate	An implementation of the wLogDate algorithm for dating phylogenetic trees	2023-06-16
bacphlip	A Random Forest classifier to predict bacteriophage lifestyle	2023-06-16
pyclone	PyClone: A probabilistic model for inferring clonal population structure from deep NGS sequencing.	2023-06-16
metatree	Visualisation of polyphyletic groups between phylogenetic trees to a reference tree.	2023-06-16
macse	MACSE: Multiple Alignment of Coding SEquences Accounting for Frameshifts and Stop Codons.	2023-06-16
scapp	Plasmid assembly in metagenomes	2023-06-16
bmge	BMGE (Block Mapping and Gathering with Entropy) is a program that selects	
regions in a multiple sequence alignment that are suited for phylogenetic inference.	2023-06-16	
mtglink	MTG-link is a local assembly tool for linked-read data	2023-06-16
isonclust2	De novo clustering of long transcriptomic reads	2023-06-16
gmgc-mapper	Map genes and genome to the Global Microbial Gene Catalog (GMGC)	2023-06-16
sequnwinder	SeqUnwinder is a framework for characterizing class-discriminative motifs in a collection of genomic loci that have several (overlapping) annotation labels.	2023-06-16
homoeditdistance	An implementation of the homo-edit distance algorithm.	2023-06-16
contigtax	Assign taxonomy to metagenomic contigs (previously know as tango)	2023-06-16
marvel	MARVEL: Metagenomic Analyses and Retrieval of Viral Elements	2023-06-16
im-pipelines	Components for cheminformatics and computational chemistry from InformaticsMatters.	2023-06-16
scagaire	Scagaire allows you to take in gene predictions from a metagenomic sample and filter them by bacterial/pathogenic species	2023-06-16
perl-gfacs	gFACs is a filtering analysis and conversion tool to unify genome annotations across alignment and gene prediction frameworks.	2023-06-16
datma	DistributedAuTomaticMetagenomicAssembly andAnnotation framework	2023-06-16
comparem	A toolbox for comparative genomics.	2023-06-16
bio-ting	ting is a tool clustering large scale T cell receptor repertoires by antigen-specificity	2023-06-16
eukcc	Check eukaryotic genomes or MAGs for completeness and contamination	2023-06-16
cansnper2	A toolkit for SNP-typing bacterial genomes.	2023-06-16
genometreetk	A toolbox for working with genome trees.	2023-06-16
unfazed	Extended read-backed and allele-balance phasing for de novo variation (SNVs INDELS SVs and CNVs)	2023-06-16
gifrop	Identify classify and cluster genomic islands from roary pangenomes	2023-06-16
metalign	Metalign: efficient alignment-based metagenomic profiling via containment min hash	2023-06-16
deepaclive	Detecting novel pathogens from NGS reads in real-time during a sequencing run.	2023-06-16
pydpi	A powerful tool for chemoinformatics bioinforamtics and chemogenomics study	2023-06-16
haphpipe	HAplotype and PHylodynamics pipeline for viral assembly population genetics and phylodynamics.	2023-06-16
deepmased	Deep learning for Metagenome Assembly Error Detection	2023-06-16
tag	Genome annotation data analysis and management implemented in pure Python.	2023-06-16
transcov	A software for mapping coverage around transcription start sites	2023-06-16
abacat	abacat - A BActerial genome Curation and Annotation Toolkit	2023-06-16
plasmidid	Pipeline for plasmid identification and reconstruction	2023-06-16
tasmanian-mismatch	Tasmanian tool to analyze mismatches at read and position in high throughput sequencing data	2023-06-16
treesapp	TreeSAPP is a functional and taxonomic annotation tool for microbial genomes and proteins	2023-06-16
strling	STRling (pronounced like “sterling”) is a method to detect large STR expansions from short-read sequencing data.	2023-06-16
clame	CLAME is a binning software for metagenomic reads. It immplements a fm-index search algorithm for nucleotide sequence alignment. Then it uses strongly connected component strategy to bin sequences with similar DNA composition.	2023-06-16
svjedi	SVJedi is a structural variation (SV) genotyper for long read data.	2023-06-16
binlorry	BinLorry a flexible tool for binning and filtering sequencing reads	2023-06-16
eukrep	Classification of Eukaryotic and Prokaryotic sequences from metagenomic datasets	2023-06-16
minipolish	A tool for Racon polishing of miniasm assemblies	2023-06-16
clipcontext	Extract CLIP-seq binding regions with both genomic and transcript context	2023-06-16
phylorank	PhyloRank provides functionality for calculating the relative evolutionary	
divergence (RED) of taxa in a tree and for finding the best placement of		
taxonomic labels in a tree.	2023-06-16	
hail	Hail is Python-based data analysis tool for working with genomic data.	2023-06-16
svim-asm	SVIM-asm is a fork of the SV caller SVIM for genome-genome alignments.	2023-06-16
peaksql	Dynamic machine learning database for genomics.	2023-06-16
yamda	A highly scalable GPU-accelerated de novo motif discovery software package	2023-06-16
cmash	Fast and accurate set similarity estimation via containment min hash (for genomic datasets).	2023-06-16
gaas	Suite of tools related to Genome Assembly Annotation Service tasks at NBIS.	2023-06-16
goetia	streaming de Bruijn graph compaction and sketching.	2023-06-16
deepacstrain	Predicting pathogenic potentials of novel strains of known bacterial species.	2023-06-16
gcluster	Gcluster is a simple-to-use tool for visualizing and comparing genome contexts for numerous genomes	2023-06-16
riboseqc	Read length specific QC of Ribo-seq data	2023-06-16
rkp	Relative K-mer Project	2023-06-16
r-transphylo	Reconstruction of transmission trees using genomic data	2023-06-16
yapc	Yapc is a (yet another) peak caller for genomic high-throughput sequencing data	2023-06-16
callstate	A replacement for GATK3 CallableLoci	2023-06-16
phastaf	Identify phage regions in bacterial genomes for masking purposes	2023-06-16
enrichm	EnrichM is a toolbox for comparing the functional composition of population genomes	2023-06-16
clan	CLAN - the CrossLinked reads ANalysis tool	2023-06-16
chira	An integrated framework for annotation and visualization of chimeric reads.	2023-06-16
biotdg	Bioinformatics Test Data Generator	2023-06-16
imsindel	An accurate intermediate-size indel detection tool incorporating de novo assembly and gapped global-local alignment with split read analysis	2023-06-16
shannon_cpp	shannon_cpp is command line tool for denovo rna assembly	2023-06-16
hypo	Super Fast and Accurate Polisher for Long Read Genome Assemblies.	2023-06-16
libis	Low input Bisulfite sequencing alignment	2023-06-16
libis_moabs	Low input Bisulfite sequencing alignment	2023-06-16
hypercluster	A package for automatic clustering hyperparameter optmization	2023-06-16
