Package_Name	Description	Updated_Date
r-microseq	Basic functions for microbial sequence data analysis.	2023-06-16
arb-bio	ARB 6 Sequence Analysis Suite	2023-06-16
dxua	command-line tool for uploading files to the DNAnexus Platform	2023-06-16
mrbayes	Bayesian Inference of Phylogeny	2023-06-16
transrate-tools	Command-line tools used by transrate for processing bam files.	2023-06-16
biofluff	Exploratory analysis and visualization of high-throughput sequencing data	2023-06-16
virmet	A pipeline for viral metagenomics	2023-06-16
targqc	Target capture coverage QC	2023-06-16
rename	Perl-powered file rename script with many helpful built-ins	2023-06-16
perl-tie-hash-indexed	Ordered hashes for Perl	2023-06-16
sharedmem	Dispatch your trivially parallizable jobs with sharedmem.	2023-06-16
perl-b-hooks-endofscope	Execute code after a scope finished compilation	2023-06-16
perl-namespace-autoclean	Keep imports out of your namespace	2023-06-16
perl-sub-identify	Retrieve names of code references	2023-06-16
perl-params-validationcompiler	Build an optimized subroutine parameter validator once, use it forever	2023-06-16
perl-variable-magic	Associate user-defined magic to variables from Perl.	2023-06-16
perl-sub-attribute	Reliable subroutine attribute handlers	2023-06-16
perl-crypt-openssl-rsa	RSA encoding and decoding, using the openSSL libraries	2023-06-16
moca	Tool for motif conservation analysis	2023-06-16
rdptools	Metaproject for RDP Tools	2023-06-16
perl-log-any	Bringing loggers and listeners together	2023-06-16
dcmtk	DCMTK is a collection of libraries and applications implementing large parts the DICOM standard	2023-06-16
cansnper	A hierarchical genotype classifier of clonal pathogens.	2023-06-16
snp-pipeline	Script and functions for SNP matrix construction	2023-06-16
perl-text-wrap	line wrapping to form simple paragraphs	2023-06-16
sed	sed (stream editor)	2023-06-16
perl-list-uniq	extract the unique elements of a list	2023-06-16
circlator	circlator: a tool to circularise genome assemblies	2023-06-16
perl-sub-exporter	a sophisticated exporter for custom-built routines	2023-06-16
perl-file-homedir	Find your home and other directories on any platform	2023-06-16
ale	ALE: Assembly Likelihood Estimator	2023-06-16
perl-devel-size	Perl extension for finding the memory usage of Perl variables	2023-06-16
bioconductor-refnet	A queryable collection of molecular interactions, from many sources	2023-06-16
cromwell	A Workflow Management System geared towards scientific workflows described in WDL	2023-06-16
perl-class-load	A working (require "Class::Name") and more	2023-06-16
bio_hansel	Subtype Salmonella enterica genomes using 33bp k-mer typing schemes.	2023-06-16
shorah	The Short Reads Assembly into Haplotypes (ShoRAH) program for inferring viral haplotypes from NGS data	2023-06-16
cgat-scripts-nosetests	Computational Genomics Analysis Toolkit	2023-06-16
cgat-pipelines-nosetests	Metapackage to test CGAT Pipelines	2023-06-16
cgat-scripts	Computational Genomics Analysis Toolkit	2023-06-16
ucsc-ave	Compute average and basic stats	2023-06-16
reaper	Tool for demultiplexing, trimming and filtering sequencing data.	2023-06-16
justbackoff	Simple backoff algorithm in Python	2023-06-16
taxmapper	Analysis pipeline for metagenomic, microeukaryotic sequencing data.	2023-06-16
domclust	Effective tool for orthologous grouping in multiple genomes	2023-06-16
twopaco	A fast constructor of the compressed de Bruijn graph from many genomes.	2023-06-16
perl-term-encoding	Detect encoding of the current terminal	2023-06-16
r-inline	Functionality to dynamically define R functions and S4 methods with inlined C, C++ or Fortran code supporting .C and .Call calling conventions.	2023-06-16
pycsg	Python port of csg.js from Evan Wallace	2023-06-16
requests-mock	Mock out responses from the requests package	2023-06-16
tabview	A curses command-line CSV and list (tabular data) viewer	2023-06-16
perl-scalar-util-numeric	numeric tests for perl scalars	2023-06-16
genomicassertions	A package to test common files in genomics (.vcf.gz, .bam)	2023-06-16
metavelvet-sl-feature-extraction	Perl libraries that do feature extraction for metavelvet-sl	2023-06-16
perl-number-compare	numeric comparisons	2023-06-16
metavelvet	MetaVelvet : An extension of Velvet assembler to de novo metagenome assembly from short sequence reads	2023-06-16
multiqc-bcbio	MultiQC plugin for bcbio report visualization.	2023-06-16
perl-memoize	Make functions faster by trading space for time	2023-06-16
perl-test-warnings	Test for warnings and the lack of them	2023-06-16
perl-file-sort	Sort a file or merge sort multiple files	2023-06-16
perl-error	Error/exception handling in an OO-ish way	2023-06-16
perl-file-slurper	A simple, sane and efficient module to slurp a file	2023-06-16
perl-tie-ixhash	ordered associative arrays for Perl	2023-06-16
perl-set-scalar	basic set operations	2023-06-16
perl-math-spline	Cubic Spline Interpolation of data	2023-06-16
perl-sort-naturally	sort lexically, but sort numeral parts numerically	2023-06-16
perl-file-slurp-tiny	A simple, sane and efficient file slurper [DISCOURAGED]	2023-06-16
perl-xml-filter-buffertext	Filter to put all characters() in one event	2023-06-16
perl-test-base	A Data Driven Testing Framework	2023-06-16
perl-template-toolkit	comprehensive template processing system	2023-06-16
perl-devel-stacktrace	An object representing a stack trace	2023-06-16
perl-algorithm-munkres	Munkres.pm	2023-06-16
perl-xml-semanticdiff	Perl extension for comparing XML documents.	2023-06-16
perl-canary-stability	canary to check perl compatibility for schmorp's modules	2023-06-16
perl-convert-binary-c	Binary Data Conversion using C Types	2023-06-16
perl-text-diff	Perform diffs on files and record sets	2023-06-16
perl-tree-dag_node	An N-ary tree	2023-06-16
perl-test-pod	check for POD errors in files	2023-06-16
perl-ntlm	An NTLM authentication module	2023-06-16
perl-bio-samtools	Read SAM/BAM files	2023-06-16
perl-tie-cache	LRU Cache in Memory	2023-06-16
perl-test-notabs	Check the presence of tabs in your project	2023-06-16
perl-cpan-meta-check	Verify requirements in a CPAN::Meta object	2023-06-16
perl-task-weaken	Ensure that a platform has weaken support	2023-06-16
perl-test-leaktrace	Traces memory leaks	2023-06-16
perl-test-deep	Extremely flexible deep comparison	2023-06-16
perl-math-derivative	Numeric 1st and 2nd order differentiation.	2023-06-16
perl-xml-writer	Easily generate well-formed, namespace-aware XML.	2023-06-16
perl-test-xml	Compare XML in perl tests	2023-06-16
perl-exporter-tiny	Exporter with the features of Sub::Exporter but only core dependencies	2023-06-16
perl-digest-hmac	Keyed-Hashing for Message Authentication	2023-06-16
perl-list-moreutils	Provide the stuff missing in List::Util	2023-06-16
perl-bioperl-core	"Core" packages for the BioPerl toolkit; you really should install perl-bioperl.	2023-06-16
perl-test-eol	Check the correct line endings in your project	2023-06-16
perl-svg	Perl extension for generating Scalable Vector Graphics (SVG) documents	2023-06-16
perl-class-data-inheritable	Inheritable, overridable class data	2023-06-16
perl-array-compare	Perl extension for comparing arrays.	2023-06-16
perl-exception-class	A module that allows you to declare real exception classes in Perl	2023-06-16
perl-unicode-map	Map charsets from and to UTF-16 unicode	2023-06-16
perl-clone	recursively copy Perl datatypes	2023-06-16
perl-xml-twig	XML, The Perl Way	2023-06-16
pyfasta	fast, memory-efficient, pythonic (and command-line) access to fasta sequence files	2023-06-16
perl-hpc-runner-pbs	Submit jobs to a PBS job scheduler.	2023-06-16
khmer	khmer k-mer counting library	2023-06-16
msprime	A fast and accurate coalescent simulator.	2023-06-16
mathstats	Statistical functions, goodness-of-fit tests and special and special distributions not implemented in scipy/numpy .	2023-06-16
perl-bit-vector	Efficient bit vector, set of integers and "big int" math library	2023-06-16
hap.py	Haplotype VCF comparison tools	2023-06-16
workspace	Workspace Overmind	2023-06-16
r-corpcor	Efficient Estimation of Covariance and (Partial) Correlation	2023-06-16
perl-class-std	Support for creating standard "inside-out" classes	2023-06-16
perl-module-runtime	runtime module handling	2023-06-16
perl-statistics-distributions	Perl module for calculating critical values and upper probabilities of common statistical distributions	2023-06-16
pomegranate	Pomegranate is a graphical models library for Python, implemented in Cython for speed.	2023-06-16
lightning	lightning is a library for large-scale linear classification, regression and ranking in Python	2023-06-16
sqlalchemy-datatables	SQLAlchemy integration of jQuery DataTables	2023-06-16
perl-try-tiny	minimal try/catch with proper preservation of $@	2023-06-16
pedagree	pleasingly pythonic pedigree manipulation	2023-06-16
perl-file-readbackwards	Read a file backwards by lines.	2023-06-16
repeatscout	De novo identification of repeat families in large genomes.	2023-06-16
perl-text-tabs-wrap	Expand tabs and do simple line wrapping	2023-06-16
perl-file-next	File-finding iterator	2023-06-16
perl-biox-workflow-plugin-filedetails	Get metadata for files in directories processed by BioX::Workflow	2023-06-16
perl-pod-elemental	work with nestable Pod elements	2023-06-16
perl-biox-workflow-plugin-fileexists	a plugin to BioX::Workflow	2023-06-16
perl-module-build-tiny	A tiny replacement for Module::Build	2023-06-16
perl-extutils-config	A wrapper for perl's configuration	2023-06-16
illuminate	Analytics toolkit for Illumina sequencer metrics.	2023-06-16
bitstring	Simple construction, analysis and modification of binary data.	2023-06-16
retry_decorator	Retry Decorator	2023-06-16
perl-test-warn	Perl extension to test methods for warnings	2023-06-16
discovar	Suitable for variant calling with reference and de novo assembly of small genomes.	2023-06-16
perl-math-round	Perl extension for rounding numbers	2023-06-16
perl-set-intspan	Manages sets of integers, newsrc style	2023-06-16
perl-gdgraph-histogram	Histogram plotting module for Perl5	2023-06-16
perl-math-bezier	solution of Bezier Curves	2023-06-16
perl-math-vecstat	Some basic numeric stats on vectors	2023-06-16
canu	Canu is a fork of the Celera Assembler designed for high-noise single-molecule sequencing.	2023-06-16
perl-lwp-mediatypes	guess media type for a file or a URL	2023-06-16
perl-params-util	Simple, compact and correct param-checking functions	2023-06-16
perl-jcode	Japanese Charset Handler	2023-06-16
perl-ipc-run	system() and background procs w/ piping, redirs, ptys (Unix, Win32)	2023-06-16
perl-math-random	Random Number Generators	2023-06-16
c-ares	c-ares is a C library for asynchronous DNS requests (including name resolves)	2023-06-16
graphlite	embedded graph datastore	2023-06-16
ucsc-checkhgfindspec	test and describe search specs in hgFindSpec tables.	2023-06-16
r-preseqr	Estimating the number of species represented r or more times in a random sample.	2023-06-16
r-polynom	A collection of functions to implement a class for univariate polynomial manipulations.	2023-06-16
amos	A Modular, Open-Source whole genome assembler	2023-06-16
scoop	Scalable COncurrent Operations in Python	2023-06-16
tqdm	A Fast, Extensible Progress Meter	2023-06-16
r-findpython	Package designed to find an acceptable python binary.	2023-06-16
crb-blast	Conditional Reciprocal Best BLAST - high confidence ortholog assignment.	2023-06-16
perl-exporter-tidy	Another way of exporting symbols	2023-06-16
check-sort-order	check sort-order of genomic files according to a genomefile	2023-06-16
sam	SAM - Sequence Alignment and Modeling System	2023-06-16
perl-forks	drop-in replacement for Perl threads using fork()	2023-06-16
melt	A nucleotide melt temp calculator	2023-06-16
perl-sub-exporter-progressive	Only use Sub::Exporter if you need it	2023-06-16
perl-dist-checkconflicts	declare version conflicts for your dist	2023-06-16
sqt	Command-line tools for the analysis of high-throughput sequencing data	2023-06-16
gsort	sort genomic files according to a genomefile	2023-06-16
perl-math-cdf	Generate probabilities and quantiles from several statistical probability functions	2023-06-16
schema	Simple data validation library	2023-06-16
perl-test-nowarnings	Make sure you didn't emit any warnings while testing	2023-06-16
peewee	a little orm	2023-06-16
perl-class-std-fast	faster but less secure than Class::Std	2023-06-16
pymummer	Wrapper for MUMmer	2023-06-16
perl-xml-sax-expat	SAX Driver for Expat	2023-06-16
perl-statistics-ttest	Perl module to perform T-test on 2 independent samples Statistics::TTest::Sufficient - Perl module to perfrom T-Test on 2 indepdent samples using sufficient statistics	2023-06-16
perl-xml-namespacesupport	a simple generic namespace support class	2023-06-16
flask-markdown	Small extension to make using markdown easy	2023-06-16
r-pracma	Functions from numerical analysis and linear algebra, numerical optimization, differential equations, plus some special functions. Uses Matlab function names where appropriate to simplify porting.	2023-06-16
yamllint	A linter for YAML files.	2023-06-16
jq	jq is a lightweight and flexible command-line JSON processor.	2023-06-16
ocrad	Ocrad is an optical character recognition program.	2023-06-16
gocr	GOCR is an OCR (Optical Character Recognition) program	2023-06-16
r-idr	This is a package for estimating the copula mixture model and plotting correspondence curves in "Measuring reproducibility of high-throughput experiments" (2011), Annals of Applied Statistics, Vol. 5, No. 3, 1752-1779, by Li, Brown, Huang, and Bickel	2023-06-16
scrm	A coalescent simulator for genome-scale sequences	2023-06-16
r-readr	Read flat/tabular text files from disk (or a connection).	2023-06-16
potrace	A tool for tracing a bitmap, which means, transforming a bitmap into a smooth, scalable image	2023-06-16
dreamtools	Scoring functions for the DREAM / SAGE challenges	2023-06-16
colorbrewer	An easy way to get access to ColorBrewer schemes from within a Python program	2023-06-16
schema-salad	Schema Annotations for Linked Avro Data (SALAD)	2023-06-16
blockbuster	Blockbuster detects blocks of overlapping reads using a gaussian-distribution approach.	2023-06-16
sqlalchemy-utils	Various utility functions for SQLAlchemy.	2023-06-16
lapack	Linear Algebra PACKage	2023-06-16
biokit	Set of visualisation and analysis tools for biological data sets	2023-06-16
r-abind	Combine multidimensional arrays into a single array. This is a generalization of 'cbind' and 'rbind'.  Works with vectors, matrices, and higher-dimensional arrays.  Also provides functions 'adrop', 'asub', and 'afill' for manipulating, extracting and replacing data in arrays.	2023-06-16
bgt	Flexible genotype query among 30,000+ samples whole-genome.	2023-06-16
splitmem	Graphical pan-genome analysis with suffix skips	2023-06-16
r-fftwtools	Provides a wrapper for several FFTW functions. This package provides access to the two-dimensional FFT, the multivariate FFT, and the one-dimensional real to complex FFT using FFTW3. The package includes the functions fftw and mvfftw which are designed to mimic the functionality of the R functions fft and mvfft. The FFT functions have a parameter that allows them to not return the redundant complex conjugate when the input is real data.	2023-06-16
gnuplot	Gnuplot, plotting from command line	2023-06-16
samsifter	Workflow editor for metagenomic analysis	2023-06-16
screamingbackpack	ScreamingBackpack	2023-06-16
ggplot	An extremely un-pythonic package for doing exactly what ggplot2 does	2023-06-16
typing	Type Hints for Python	2023-06-16
rainbow	Efficient tool for clustering and assembling short reads, especially for RAD	2023-06-16
ruffus	Light-weight Python Computational Pipeline Management	2023-06-16
rdflib	RDFLib is a pure Python package work working with RDF	2023-06-16
denovogear	A program to detect denovo-variants using next-generation sequencing data.	2023-06-16
yahmm	YAHMM is a HMM package for Python, implemented in Cython for speed.	2023-06-16
qiime-default-reference	Default reference data files for use with QIIME.	2023-06-16
r-vegan	Ordination methods, diversity analysis and other functions for community and vegetation ecologists.	2023-06-16
glob2	Version of the glob module that can capture patterns and supports recursive wildcards	2023-06-16
avro	Avro is a serialization and RPC framework.	2023-06-16
collectl	collectl monitoring tool	2023-06-16
backports.csv	Backport of Python 3 csv module	2023-06-16
requests-cache	Persistent cache for requests library	2023-06-16
perl-pbkdf2-tiny	Minimalist PBKDF2 (RFC 2898) with HMAC-SHA1 or HMAC-SHA2	2023-06-16
perl-test-fatal	incredibly simple helpers for testing code with exceptions	2023-06-16
flask-bower	An extension to manage and serve your javascript assets with bower	2023-06-16
fitter	A tool to fit data to many distributions and best one(s)	2023-06-16
flask-nav	Easily create navigation for Flask applications.	2023-06-16
genometools	GenomeTools: Scripts and Classes For Working With Genomic Data.	2023-06-16
fastdtw	Dynamic Time Warping (DTW) algorithm with an O(N) time and memory complexity	2023-06-16
perl-sanger-cgp-battenberg	detect subclonality and copy number in matched NGS data	2023-06-16
bioconductor-kegg.db	A set of annotation maps for KEGG	2023-06-16
flask-bootstrap	An extension that includes Bootstrap in your project, without any boilerplate code.	2023-06-16
r-calibrate	Package for drawing calibrated scales with tick marks on (non-orthogonal)  variable vectors in scatterplots and biplots.	2023-06-16
platypus-conquistador	Platypus Conquistador: Confirming specific taxonomic groups within your metagenomic samples.	2023-06-16
perl-sanger-cgp-allelecount	Support code for NGS copy number algorithm	2023-06-16
testfixtures	A collection of helpers and mock objects for unit tests and doc tests.	2023-06-16
perl-bloom-faster	Perl extension for the c library libbloom.	2023-06-16
vcflatten	A command line tool for flattening VCF files down to simpler TSV files.	2023-06-16
perl-sanger-allelecount	Support code for NGS copy number algorithm	2023-06-16
intervals	Python tools for handling intervals (ranges of comparable objects).	2023-06-16
watchdog	Filesystem events monitoring	2023-06-16
infinity	All-in-one infinity value for Python. Can be compared to any object.	2023-06-16
pytest-timeout	py.test plugin to abort hanging tests	2023-06-16
stamp	A graphical software package for analyzing taxonomic and functional profiles.	2023-06-16
r-amap	Tools for Clustering and Principal Component Analysis (With robust methods, and parallelized functions).	2023-06-16
r-gmd	GMD is a package for non-parametric distance measurement between two discrete frequency distributions.	2023-06-16
ms	Generates random independent samples according to a simple Wright-Fisher neutral model.	2023-06-16
svgwrite	A Python library to create SVG drawings.	2023-06-16
pynast	The Python Nearest Alignment Space Termination tool	2023-06-16
blast-legacy	The Basic Local Alignment Search Tool (BLAST) finds regions of local similarity between sequences.	2023-06-16
suma_package	Fast and exact comparison of sequences	2023-06-16
ea-utils	Command-line tools for processing biological sequencing data.	2023-06-16
cogent	COmparative GENomics Toolkit	2023-06-16
bcbio-variation	Toolkit to analyze genomic variation data, built on the GATK with Clojure	2023-06-16
python-magic	File type identification using libmagic	2023-06-16
perl-extutils-makemaker	Create a module Makefile	2023-06-16
perl-bioperl-run	BioPerl-Run - wrapper toolkit	2023-06-16
sweepfinder2	The BWA read mapper.	2023-06-16
perl-config-general	Generic Config Module	2023-06-16
perl-readonly	Facility for creating read-only scalars, arrays, hashes	2023-06-16
perl-pathtools	Tools for working with directory and file names	2023-06-16
perl-cpan-meta	the distribution metadata for a CPAN dist	2023-06-16
smalt	SMALT aligns DNA sequencing reads with a reference genome.	2023-06-16
discovardenovo	Suitable for de novo assembly of large and small genomes.	2023-06-16
soapec	a correction tool for SOAPdenovo	2023-06-16
r-mba	Scattered data interpolation with Multilevel B-Splines	2023-06-16
r-rrcov	Robust Location and Scatter Estimation and Robust Multivariate Analysis with High Breakdown Point.	2023-06-16
r-permute	A set of restricted permutation designs for freely exchangeable, line transects (time series), and spatial grid designs plus permutation of blocks (groups of samples) is provided.	2023-06-16
ruamel.yaml	A YAML package for Python. It is a derivative of Kirill Simonov's PyYAML 3.11 which supports YAML1.1	2023-06-16
python-fakemp	Fake multiprocessing pool objects	2023-06-16
forked-path	An object oriented file path module	2023-06-16
bioconductor-fourcseq	Package analyse 4C sequencing data	2023-06-16
perl-pdf-api2	Facilitates the creation and modification of PDF files	2023-06-16
perl-time-hires	High resolution alarm, sleep, gettimeofday, interval timers	2023-06-16
trimmomatic	A flexible read trimming tool for Illumina NGS data	2023-06-16
ipython-cluster-helper	Tool to easily start up an IPython cluster on different schedulers	2023-06-16
geneimpacts	prioritize effects of variant annotations from VEP, SnpEff, et al.	2023-06-16
r-ks	Kernel smoothers for univariate and multivariate data, including density functions, density derivatives, cumulative distributions, modal clustering, discriminant analysis, and two-sample hypothesis testing.	2023-06-16
sphinxcontrib-programoutput	Sphinx extension to include program output	2023-06-16
perl-file-fetch	Generic file fetching code	2023-06-16
perl-file-sharedir-install	Install shared files	2023-06-16
perl-encode-locale	Determine the locale encoding	2023-06-16
perl-file-sharedir	Locate per-dist and per-module shared files	2023-06-16
perl-archive-extract	Generic archive extracting mechanism	2023-06-16
perl-gdgraph	Produces charts with GD	2023-06-16
gatk-framework	The core MIT-licensed Genome Analysis Toolkit (GATK) framework, free for all uses	2023-06-16
vardict-java	Java port of the VarDict variant discovery program	2023-06-16
flash	Merge mates from fragments that are shorter than twice the read length	2023-06-16
setuptools_cython	Cython setuptools integration	2023-06-16
hifive	Python library for normalizing and analyzing HiC and 5C data	2023-06-16
perl-cgi	A generic file fetching mechanism	2023-06-16
intervalstats	Tool for assessing similarity between sets of intervals	2023-06-16
perl-scalar-list-utils	Common Scalar and List utility subroutines	2023-06-16
perl-uri	Uniform Resource Identifiers (absolute and relative)	2023-06-16
bcbreport	Rmd templates for bcbio-nextgen analysis	2023-06-16
r-ash	David Scott's ASH routines ported from S-PLUS to R.	2023-06-16
chanjo	Coverage analysis tool for clinical sequencing	2023-06-16
r-pcapp	Robust PCA by Projection Pursuit	2023-06-16
perl-module-build	Build and install Perl modules	2023-06-16
perl-vcftools-vcf	cpanm ready distribution of VCFtools Perl libraries	2023-06-16
perl-db-file	Perl5 access to Berkeley DB version 1.x.	2023-06-16
perl-app-cpanminus	get, unpack, build and install modules from CPAN	2023-06-16
hubward	Manage the visualization of large amounts of other people's [often messy] genomics data	2023-06-16
r-listenv	List environments are environments that can be indexed similarly to lists, e.g. 'x <- listenv(); x[[2]] <- "b"; names(x)[2] <- "B"; print(x$B)'.	2023-06-16
r-cghflasso	Spatial smoothing and hot spot detection using the fused lasso regression	2023-06-16
r-hdrcde	Computation of highest density regions in one and two dimensions, kernel estimation of univariate density functions conditional on one covariate, and multimodal regression.	2023-06-16
r-r.cache	Memoization can be used to speed up repetitive and computational expensive function calls.  The first time a function that implements memoization is called the results are stored in a cache memory.  The next time the function is called with the same set of parameters, the results are momentarily retrieved from the cache avoiding repeating the calculations.  With this package, any R object can be cached in a key-value storage where the key can be an arbitrary set of R objects.  The cache memory is persistent (on the file system).	2023-06-16
r-r.utils	Utility functions useful when programming and developing R packages.	2023-06-16
r-lsd	Create lots of colorful plots in a plethora of variations (try the LSD demotour() )	2023-06-16
r-locfit	Local regression, likelihood and density estimation.	2023-06-16
voluptuous	Python data validation library	2023-06-16
r-shape	Functions for plotting graphical shapes such as ellipses, circles, cylinders, arrows, ...	2023-06-16
r-funr	A small utility which wraps Rscript and provides access to all R functions from the shell.	2023-06-16
r-futile.options	A scoped options management framework	2023-06-16
logbook	A logging replacement for Python	2023-06-16
r-rainbow	Functions and data sets for functional data display and outlier detection.	2023-06-16
pycli	Simple, object-oriented approach to Python CLI apps	2023-06-16
tabulate	Pretty-print tabular data	2023-06-16
joblib	Lightweight pipelining: using Python functions as pipeline jobs.	2023-06-16
requests-toolbelt	A toolbelt of useful classes and functions to be used with python-requests	2023-06-16
glimmer	Glimmer is a system for finding genes in microbial DNA	2023-06-16
qsignature	qsignature is a simple and highly effective method for detecting potential sample mix-ups using distance measurements between SNP	2023-06-16
pysftp	A friendly face on SFTP	2023-06-16
pythonpy	the swiss army knife of the command line	2023-06-16
gat	Genomic Association Tester	2023-06-16
simplejson	Simple, fast, extensible JSON encoder/decoder for Python	2023-06-16
oncofuse	Predicting oncogenic potential of gene fusions	2023-06-16
s3gof3r	Fast, concurrent, streaming access to Amazon S3, including gof3r, a CLI	2023-06-16
mvicuna	M-Vicuna is a modularized version of VICUNA, a de novo assembly program targeting populations with high mutation rates	2023-06-16
p7zip	p7zip is a quick port of 7z.exe and 7za.exe (command line version of 7zip, see www.7-zip.org ) for Unix.	2023-06-16
fisher	Fast Fisher's Exact Test	2023-06-16
metaseq	Integrative analysis of high-thoughput sequencing data	2023-06-16
r-snow	Support for simple parallel computing in R.	2023-06-16
knot	Detection of knots in protein folds.	2023-06-16
pyomo	Pyomo: Python Optimization Modeling Objects	2023-06-16
xmltodict	Makes working with XML feel like you are working with JSON	2023-06-16
toposort	A topological sort algorithm for Python.	2023-06-16
splitp	splitp is a streaming read pre-preprocessor.	2023-06-12
metachip	HGT detection pipeline	2023-06-06
selenzy_wrapper	Python wrapper of selenzy tool	2023-06-03
codonw	CodonW is a programme designed to simplify the Multivariate analysis (correspondence analysis) of codon and amino acid usage.	2023-05-31
splitp	splitp is a streaming read pre-preprocessor.	2023-06-12
metachip	HGT detection pipeline	2023-06-06
selenzy_wrapper	Python wrapper of selenzy tool	2023-06-03
codonw	CodonW is a programme designed to simplify the Multivariate analysis (correspondence analysis) of codon and amino acid usage.	2023-05-31
splitp	splitp is a streaming read pre-preprocessor.	2023-06-12
metachip	HGT detection pipeline	2023-06-06
selenzy_wrapper	Python wrapper of selenzy tool	2023-06-03
codonw	CodonW is a programme designed to simplify the Multivariate analysis (correspondence analysis) of codon and amino acid usage.	2023-05-31
splitp	splitp is a streaming read pre-preprocessor.	2023-06-12
metachip	HGT detection pipeline	2023-06-06
selenzy_wrapper	Python wrapper of selenzy tool	2023-06-03
codonw	CodonW is a programme designed to simplify the Multivariate analysis (correspondence analysis) of codon and amino acid usage.	2023-05-31
splitp	splitp is a streaming read pre-preprocessor.	2023-06-12
metachip	HGT detection pipeline	2023-06-06
selenzy_wrapper	Python wrapper of selenzy tool	2023-06-03
codonw	CodonW is a programme designed to simplify the Multivariate analysis (correspondence analysis) of codon and amino acid usage.	2023-05-31
splitp	splitp is a streaming read pre-preprocessor.	2023-06-12
metachip	HGT detection pipeline	2023-06-06
selenzy_wrapper	Python wrapper of selenzy tool	2023-06-03
codonw	CodonW is a programme designed to simplify the Multivariate analysis (correspondence analysis) of codon and amino acid usage.	2023-05-31
splitp	splitp is a streaming read pre-preprocessor.	2023-06-12
metachip	HGT detection pipeline	2023-06-06
selenzy_wrapper	Python wrapper of selenzy tool	2023-06-03
codonw	CodonW is a programme designed to simplify the Multivariate analysis (correspondence analysis) of codon and amino acid usage.	2023-05-31
splitp	splitp is a streaming read pre-preprocessor.	2023-06-12
metachip	HGT detection pipeline	2023-06-06
selenzy_wrapper	Python wrapper of selenzy tool	2023-06-03
codonw	CodonW is a programme designed to simplify the Multivariate analysis (correspondence analysis) of codon and amino acid usage.	2023-05-31
splitp	splitp is a streaming read pre-preprocessor.	2023-06-12
metachip	HGT detection pipeline	2023-06-06
selenzy_wrapper	Python wrapper of selenzy tool	2023-06-03
codonw	CodonW is a programme designed to simplify the Multivariate analysis (correspondence analysis) of codon and amino acid usage.	2023-05-31
splitp	splitp is a streaming read pre-preprocessor.	2023-06-12
metachip	HGT detection pipeline	2023-06-06
selenzy_wrapper	Python wrapper of selenzy tool	2023-06-03
codonw	CodonW is a programme designed to simplify the Multivariate analysis (correspondence analysis) of codon and amino acid usage.	2023-05-31
splitp	splitp is a streaming read pre-preprocessor.	2023-06-12
metachip	HGT detection pipeline	2023-06-06
selenzy_wrapper	Python wrapper of selenzy tool	2023-06-03
codonw	CodonW is a programme designed to simplify the Multivariate analysis (correspondence analysis) of codon and amino acid usage.	2023-05-31
splitp	splitp is a streaming read pre-preprocessor.	2023-06-12
metachip	HGT detection pipeline	2023-06-06
selenzy_wrapper	Python wrapper of selenzy tool	2023-06-03
codonw	CodonW is a programme designed to simplify the Multivariate analysis (correspondence analysis) of codon and amino acid usage.	2023-05-31
splitp	splitp is a streaming read pre-preprocessor.	2023-06-12
metachip	HGT detection pipeline	2023-06-06
selenzy_wrapper	Python wrapper of selenzy tool	2023-06-03
codonw	CodonW is a programme designed to simplify the Multivariate analysis (correspondence analysis) of codon and amino acid usage.	2023-05-31
splitp	splitp is a streaming read pre-preprocessor.	2023-06-12
metachip	HGT detection pipeline	2023-06-06
selenzy_wrapper	Python wrapper of selenzy tool	2023-06-03
codonw	CodonW is a programme designed to simplify the Multivariate analysis (correspondence analysis) of codon and amino acid usage.	2023-05-31
splitp	splitp is a streaming read pre-preprocessor.	2023-06-12
metachip	HGT detection pipeline	2023-06-06
selenzy_wrapper	Python wrapper of selenzy tool	2023-06-03
codonw	CodonW is a programme designed to simplify the Multivariate analysis (correspondence analysis) of codon and amino acid usage.	2023-05-31
splitp	splitp is a streaming read pre-preprocessor.	2023-06-12
metachip	HGT detection pipeline	2023-06-06
selenzy_wrapper	Python wrapper of selenzy tool	2023-06-03
codonw	CodonW is a programme designed to simplify the Multivariate analysis (correspondence analysis) of codon and amino acid usage.	2023-05-31
splitp	splitp is a streaming read pre-preprocessor.	2023-06-12
metachip	HGT detection pipeline	2023-06-06
selenzy_wrapper	Python wrapper of selenzy tool	2023-06-03
codonw	CodonW is a programme designed to simplify the Multivariate analysis (correspondence analysis) of codon and amino acid usage.	2023-05-31
splitp	splitp is a streaming read pre-preprocessor.	2023-06-12
metachip	HGT detection pipeline	2023-06-06
selenzy_wrapper	Python wrapper of selenzy tool	2023-06-03
codonw	CodonW is a programme designed to simplify the Multivariate analysis (correspondence analysis) of codon and amino acid usage.	2023-05-31
splitp	splitp is a streaming read pre-preprocessor.	2023-06-12
metachip	HGT detection pipeline	2023-06-06
selenzy_wrapper	Python wrapper of selenzy tool	2023-06-03
codonw	CodonW is a programme designed to simplify the Multivariate analysis (correspondence analysis) of codon and amino acid usage.	2023-05-31
splitp	splitp is a streaming read pre-preprocessor.	2023-06-12
metachip	HGT detection pipeline	2023-06-06
selenzy_wrapper	Python wrapper of selenzy tool	2023-06-03
